PadBytes,NoPadTime[ms],NoPadDev[%],PadTime[ms],PadDev[%]
1,16.4,13%,15.1,24%
2,19.0,12%,21.2,9%
3,20.0,13%,19.4,17%
4,20.9,6%,19.5,18%
5,20.1,21%,20.7,13%
6,20.8,16%,20.2,16%
7,20.7,35%,21.5,16%
8,20.8,20%,21.6,6%
9,21.0,12%,19.9,12%
10,20.9,18%,19.6,6%
11,20.9,13%,21.4,8%
12,20.7,14%,17.9,24%
13,21.6,7%,19.5,5%
14,20.8,11%,17.6,29%
15,21.5,21%,19.7,10%
16,22.1,5%,21.5,9%
17,20.8,18%,21.1,17%
18,21.5,16%,20.5,15%
19,22.5,5%,22.1,4%
20,21.0,22%,22.5,5%
21,22.2,10%,22.0,11%
22,22.0,14%,21.9,11%
23,21.9,7%,21.3,5%
24,21.0,14%,21.7,4%
25,21.2,11%,12.4,6%
26,21.4,10%,12.8,10%
27,21.7,19%,13.0,9%
28,22.5,15%,12.7,10%
29,21.5,15%,12.6,6%
30,21.1,16%,12.6,6%
31,20.9,19%,12.2,7%
32,21.2,18%,12.6,12%
33,20.8,21%,12.3,9%
34,20.4,11%,12.1,10%
35,21.1,22%,17.1,32%
36,21.0,14%,16.3,30%
37,22.6,12%,12.4,9%
38,21.6,10%,17.2,32%
39,21.3,12%,12.1,6%
40,21.1,13%,21.1,11%
41,20.7,13%,12.4,11%
42,22.0,9%,12.4,6%
43,21.6,4%,12.2,7%
44,22.1,6%,12.5,7%
45,21.7,12%,12.5,7%
46,21.9,10%,12.6,7%
47,22.2,7%,12.6,8%
48,22.3,9%,13.0,9%
49,21.8,17%,15.6,3%
50,23.4,7%,15.3,7%
51,21.6,24%,15.2,9%
52,23.6,15%,16.0,6%
53,23.0,23%,15.9,8%
54,22.1,23%,14.4,13%
55,23.9,20%,15.9,5%
56,23.1,10%,15.6,3%
57,22.9,10%,14.7,4%
58,21.2,10%,14.4,5%
59,21.1,11%,14.4,5%
60,21.8,12%,15.2,9%
61,22.8,11%,14.6,4%
62,21.5,21%,14.8,5%
63,24.1,22%,17.6,5%
64,24.6,15%,15.4,7%
65,22.3,11%,14.9,6%
66,21.9,16%,15.1,6%
67,22.4,7%,14.6,5%
68,22.5,5%,14.5,11%
69,21.5,13%,15.0,2%
70,21.6,11%,14.7,3%
71,21.5,11%,14.4,5%
72,22.2,9%,14.5,5%
73,21.2,16%,14.4,5%
74,21.9,14%,14.6,4%
75,21.1,16%,14.2,8%
76,21.1,9%,14.6,10%
77,21.8,12%,14.9,4%
78,21.6,11%,14.6,4%
79,21.6,15%,14.6,5%
80,21.1,13%,14.5,5%
81,21.3,10%,14.5,6%
82,21.4,9%,14.2,7%
83,22.0,5%,14.4,7%
84,21.6,11%,14.1,7%
85,21.2,15%,14.7,4%
86,20.7,12%,14.3,7%
87,20.9,14%,14.3,7%
88,21.2,14%,14.5,5%
89,20.9,13%,12.4,7%
90,21.5,15%,12.7,9%
91,22.0,10%,13.1,10%
92,22.3,15%,12.4,8%
93,21.8,8%,12.4,6%
94,21.3,11%,12.9,10%
95,21.5,22%,12.7,9%
96,21.6,12%,12.7,6%
97,21.7,9%,14.5,4%
98,21.4,13%,14.6,5%
99,21.8,12%,14.5,3%
100,21.1,16%,14.1,6%
101,21.8,6%,14.7,4%
102,21.2,14%,14.2,8%
103,20.9,15%,14.7,4%
104,20.7,19%,14.4,5%
105,20.8,10%,14.5,4%
106,21.6,14%,14.9,3%
107,21.2,12%,14.5,5%
108,21.3,16%,14.7,4%
109,21.6,9%,14.5,4%
110,20.9,11%,14.2,7%
111,21.2,13%,14.4,7%
112,20.5,12%,14.4,5%
113,21.4,11%,12.5,6%
114,21.7,8%,12.6,7%
115,22.3,9%,12.5,10%
116,21.9,11%,12.5,8%
117,21.1,16%,13.1,10%
118,22.5,7%,13.4,9%
119,21.6,21%,14.5,10%
120,23.3,18%,13.9,10%
121,22.2,18%,13.3,12%
122,21.8,8%,12.4,7%
123,20.9,15%,12.3,9%
124,20.6,15%,12.3,8%
125,21.0,14%,12.3,7%
126,20.7,14%,12.2,9%
127,21.5,10%,12.2,8%
128,20.5,19%,12.2,7%
129,20.7,14%,12.3,5%
130,20.7,16%,12.7,12%
131,21.4,13%,12.2,6%
132,20.5,14%,12.5,9%
133,21.5,12%,12.7,11%
134,22.4,8%,12.3,6%
135,20.8,16%,12.4,6%
136,20.8,15%,12.1,7%
137,21.1,10%,12.1,8%
